"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Total Cases per 1M Pop,Deaths per 1M Pop,TotalTests,Tests per 1M Pop,Continent,Positivepercentage,RecoveredPercentage,DeathPercentage
Isle of Man,297.0,6.0,180.0,111.0,11.0,3493.0,71.0,2414.0,28389.0,Europe,12.303231151615575,60.60606060606061,2.0202020202020203
Vietnam,268.0,0.0,201.0,67.0,8.0,3.0,0.0,206253.0,2119.0,Asia,0.12993750393933665,75.0,0.0
Kenya,262.0,12.0,60.0,190.0,2.0,5.0,0.2,10784.0,201.0,Africa,2.429525222551929,22.900763358778626,4.580152671755725
Guatemala,257.0,7.0,21.0,229.0,3.0,14.0,0.4,7200.0,402.0,North America,3.5694444444444446,8.171206225680933,2.7237354085603114
Sri Lanka,254.0,7.0,86.0,161.0,1.0,12.0,0.3,4768.0,223.0,Asia,5.327181208053691,33.85826771653544,2.7559055118110236
Mayotte,254.0,4.0,117.0,133.0,6.0,931.0,15.0,1800.0,6598.0,Africa,14.11111111111111,46.06299212598425,1.574803149606299
Venezuela,227.0,9.0,117.0,101.0,4.0,8.0,0.3,299714.0,10540.0,South America,0.07573887105707441,51.541850220264315,3.9647577092511015
Mali,216.0,13.0,41.0,162.0,0.0,11.0,0.6,0.0,0.0,Africa,0.0,18.98148148148148,6.018518518518518
Paraguay,206.0,8.0,41.0,157.0,1.0,29.0,1.0,4950.0,694.0,South America,4.161616161616162,19.902912621359224,3.8834951456310676
El Salvador,190.0,7.0,43.0,140.0,1.0,29.0,1.0,10191.0,1571.0,North America,1.8643901481699539,22.63157894736842,3.684210526315789
Faeroe Islands,184.0,0.0,173.0,11.0,0.0,3766.0,0.0,5981.0,122403.0,Europe,3.0764086273198465,94.02173913043478,0.0
Jamaica,173.0,5.0,25.0,143.0,0.0,58.0,2.0,1605.0,542.0,North America,10.778816199376948,14.450867052023122,2.8901734104046244
Martinique,163.0,12.0,73.0,78.0,11.0,434.0,32.0,0.0,0.0,North America,0.0,44.785276073619634,7.361963190184049
Guadeloupe,148.0,8.0,73.0,67.0,13.0,370.0,20.0,0.0,0.0,North America,0.0,49.32432432432432,5.405405405405405
Tanzania,147.0,5.0,11.0,131.0,4.0,2.0,0.08,0.0,0.0,Africa,0.0,7.482993197278912,3.4013605442176873
Rwanda,144.0,0.0,69.0,75.0,0.0,11.0,0.0,6237.0,482.0,Africa,2.3088023088023086,47.91666666666667,0.0
Congo,143.0,6.0,11.0,126.0,0.0,26.0,1.0,0.0,0.0,Africa,0.0,7.6923076923076925,4.195804195804196
Brunei ,137.0,1.0,113.0,23.0,2.0,313.0,2.0,11254.0,25725.0,Asia,1.217344944019904,82.48175182481752,0.7299270072992701
Somalia,135.0,7.0,2.0,126.0,2.0,8.0,0.4,0.0,0.0,Africa,0.0,1.4814814814814816,5.185185185185185
Gibraltar,132.0,0.0,111.0,21.0,1.0,3918.0,0.0,1859.0,55178.0,Europe,7.100591715976331,84.0909090909091,0.0
Cambodia,122.0,0.0,103.0,19.0,1.0,7.0,0.0,5768.0,345.0,Asia,2.115117891816921,84.42622950819673,0.0
Madagascar,120.0,0.0,35.0,85.0,1.0,4.0,0.0,2357.0,85.0,Africa,5.091217649554518,29.166666666666668,0.0
Trinidad and Tobago,114.0,8.0,21.0,85.0,0.0,81.0,6.0,1320.0,943.0,North America,8.636363636363637,18.421052631578945,7.017543859649122
Gabon,108.0,1.0,7.0,100.0,0.0,49.0,0.4,572.0,257.0,Africa,18.88111888111888,6.481481481481481,0.9259259259259258
Myanmar,107.0,5.0,5.0,97.0,0.0,2.0,0.09,4065.0,75.0,Asia,2.6322263222632225,4.672897196261682,4.672897196261682
Ethiopia,105.0,3.0,16.0,86.0,1.0,0.9,0.03,6890.0,60.0,Africa,1.5239477503628447,15.238095238095239,2.857142857142857
French Guiana,96.0,0.0,64.0,32.0,2.0,321.0,0.0,0.0,0.0,South America,0.0,66.66666666666666,0.0
Aruba,96.0,2.0,44.0,50.0,4.0,899.0,19.0,1358.0,12719.0,North America,7.069219440353461,45.83333333333333,2.083333333333333
Monaco,94.0,3.0,22.0,69.0,3.0,2395.0,76.0,0.0,0.0,Europe,0.0,23.404255319148938,3.1914893617021276
Togo,84.0,5.0,49.0,30.0,0.0,10.0,0.6,4191.0,506.0,Africa,2.0042949176807445,58.333333333333336,5.952380952380952
Bermuda,83.0,5.0,35.0,43.0,9.0,1333.0,80.0,552.0,8863.0,North America,15.03623188405797,42.168674698795186,6.024096385542169
Liechtenstein,79.0,1.0,55.0,23.0,0.0,2072.0,26.0,900.0,23605.0,Europe,8.777777777777777,69.62025316455697,1.2658227848101267
Equatorial Guinea,79.0,0.0,4.0,75.0,0.0,56.0,0.0,854.0,609.0,Africa,9.250585480093678,5.063291139240507,0.0
Liberia,76.0,7.0,7.0,62.0,0.0,15.0,1.0,0.0,0.0,Africa,0.0,9.210526315789473,9.210526315789473
Barbados,75.0,5.0,17.0,53.0,4.0,261.0,17.0,1000.0,3480.0,North America,7.5,22.666666666666664,6.666666666666667
Sudan,66.0,10.0,6.0,50.0,0.0,2.0,0.2,0.0,0.0,Africa,0.0,9.090909090909092,15.151515151515152
Sint Maarten,64.0,9.0,12.0,43.0,6.0,1493.0,210.0,163.0,3802.0,North America,39.263803680981596,18.75,14.0625
Guyana,63.0,6.0,9.0,48.0,4.0,80.0,8.0,283.0,360.0,South America,22.261484098939928,14.285714285714285,9.523809523809524
Cayman Islands,61.0,1.0,7.0,53.0,3.0,928.0,15.0,702.0,10681.0,North America,8.68945868945869,11.475409836065573,1.639344262295082
Cabo Verde,58.0,1.0,1.0,56.0,0.0,104.0,2.0,0.0,0.0,Africa,0.0,1.7241379310344827,1.7241379310344827
Zambia,57.0,2.0,33.0,22.0,1.0,3.0,0.1,2191.0,119.0,Africa,2.601551802829758,57.89473684210527,3.508771929824561
Bahamas,55.0,9.0,10.0,36.0,1.0,140.0,23.0,0.0,0.0,North America,0.0,18.181818181818183,16.363636363636363
French Polynesia,55.0,0.0,2.0,53.0,1.0,196.0,0.0,1302.0,4635.0,Australia/Oceania,4.224270353302612,3.6363636363636362,0.0
Uganda,55.0,0.0,22.0,33.0,0.0,1.0,0.0,11101.0,243.0,Africa,0.4954508602828574,40.0,0.0
Libya,49.0,1.0,11.0,37.0,0.0,7.0,0.1,707.0,103.0,Africa,6.9306930693069315,22.448979591836736,2.0408163265306123
Guinea-Bissau,46.0,0.0,0.0,46.0,0.0,23.0,0.0,1500.0,762.0,Africa,3.0666666666666664,0.0,0.0
Macao,45.0,0.0,16.0,29.0,1.0,69.0,0.0,0.0,0.0,Asia,0.0,35.55555555555556,0.0
Haiti,44.0,3.0,0.0,41.0,0.0,4.0,0.3,498.0,44.0,North America,8.835341365461847,0.0,6.8181818181818175
Eritrea,39.0,0.0,3.0,36.0,0.0,11.0,0.0,0.0,0.0,Africa,0.0,7.6923076923076925,0.0
Syria,38.0,2.0,5.0,31.0,0.0,2.0,0.1,0.0,0.0,Asia,0.0,13.157894736842104,5.263157894736842
Saint Martin,37.0,2.0,19.0,16.0,5.0,957.0,52.0,0.0,0.0,North America,0.0,51.35135135135135,5.405405405405405
Maldives,35.0,0.0,16.0,19.0,0.0,65.0,0.0,3714.0,6871.0,Asia,0.942380183091007,45.714285714285715,0.0
Benin,35.0,1.0,18.0,16.0,0.0,3.0,0.08,0.0,0.0,Africa,0.0,51.42857142857142,2.857142857142857
Mozambique,35.0,0.0,4.0,31.0,0.0,1.0,0.0,952.0,30.0,Africa,3.6764705882352944,11.428571428571429,0.0
Chad,33.0,0.0,8.0,25.0,0.0,2.0,0.0,0.0,0.0,Africa,0.0,24.242424242424242,0.0
